Block Row,Block Column,Status
26,45,Same
26,46,Same
26,47,Restored
26,48,Restored
26,49,Restored
26,50,Restored
26,51,Restored
26,52,Restored
26,53,Restored
26,54,Outage
26,55,Restored
26,56,Restored
26,57,Restored
26,58,Restored
26,59,Restored
26,60,Restored
26,61,Restored
26,62,Restored
26,63,Outage
27,0,Restored
27,1,Restored
27,2,Restored
27,3,Restored
27,4,Outage
27,5,Outage
27,6,Outage
27,7,Restored
27,8,Restored
27,9,Restored
27,10,Restored
27,11,Restored
27,12,Restored
27,13,Restored
27,14,Restored
27,15,Restored
27,16,Restored
27,17,Restored
27,18,Restored
27,19,Restored
27,20,Outage
27,21,Outage
27,22,Outage
27,23,Outage
27,24,Outage
27,25,Outage
27,26,Outage
27,27,Outage
27,28,Restored
27,29,Restored
27,30,Restored
27,31,Restored
